,date,open,close
990,2014-05-22,6.124,6.156
991,2014-05-23,6.162,6.259
992,2014-05-26,6.297,6.259
993,2014-05-27,6.232,6.259
994,2014-05-28,6.254,6.27
995,2014-05-29,6.264,6.216
996,2014-05-30,6.21,6.216
997,2014-06-03,6.216,6.221
998,2014-06-04,6.221,6.124
999,2014-06-05,6.108,6.178
1000,2014-06-06,6.183,6.151
1001,2014-06-09,6.135,6.205
1002,2014-06-10,6.227,6.351
1003,2014-06-11,6.313,6.367
1004,2014-06-12,6.328,6.387
1005,2014-06-13,6.381,6.657
1006,2014-06-16,6.617,6.663
1007,2014-06-17,6.611,6.604
1008,2014-06-18,6.604,6.486
1009,2014-06-19,6.486,6.433
1010,2014-06-20,6.427,6.479
1011,2014-06-23,6.479,6.427
1012,2014-06-24,6.433,6.446
1013,2014-06-25,6.446,6.427
1014,2014-06-26,6.387,6.459
1015,2014-06-27,6.44,6.459
1016,2014-06-30,6.446,6.519
1017,2014-07-01,6.519,6.486
1018,2014-07-02,6.486,6.505
1019,2014-07-03,6.505,6.552
1020,2014-07-04,6.558,6.519
1021,2014-07-07,6.519,6.486
1022,2014-07-08,6.473,6.532
1023,2014-07-09,6.525,6.348
1024,2014-07-10,6.354,6.361
1025,2014-07-11,6.354,6.361
1026,2014-07-14,6.367,6.394
1027,2014-07-16,6.381,6.321
1028,2014-07-17,6.315,6.308
1029,2014-07-18,6.282,6.315
1030,2014-07-21,6.315,6.282
1031,2014-07-22,6.269,6.4
1032,2014-07-23,6.381,6.42
1033,2014-07-24,6.427,6.683
1034,2014-07-25,6.709,6.723
1035,2014-07-28,6.749,7.091
1036,2014-07-29,7.117,7.117
1037,2014-07-30,7.117,7.071
1038,2014-07-31,7.071,7.15
1039,2014-08-01,7.13,7.038
1040,2014-08-04,7.038,7.19
1041,2014-08-05,7.203,7.117
1042,2014-08-06,7.071,7.005
1043,2014-08-07,7.005,6.907
1044,2014-08-08,6.926,6.933
1045,2014-08-11,6.946,7.045
1046,2014-08-12,7.005,6.973
1047,2014-08-13,6.959,7.005
1048,2014-08-14,7.025,6.933
1049,2014-08-15,6.933,6.959
1050,2014-08-18,6.966,7.005
1051,2014-08-19,7.005,6.959
1052,2014-08-20,6.953,6.887
1053,2014-08-21,6.874,6.801
1054,2014-08-22,6.769,6.808
1055,2014-08-25,6.808,6.716
1056,2014-08-26,6.703,6.703
1057,2014-08-27,6.703,6.736
1058,2014-08-28,6.736,6.677
1059,2014-08-29,6.677,6.742
1060,2014-09-01,6.736,6.775
1061,2014-09-02,6.808,6.874
1062,2014-09-03,6.887,6.907
1063,2014-09-04,6.907,6.94
1064,2014-09-05,6.94,6.953
1065,2014-09-09,6.94,6.88
1066,2014-09-10,6.841,6.795
1067,2014-09-11,6.795,6.821
1068,2014-09-12,6.821,6.821
1069,2014-09-15,6.795,6.782
1070,2014-09-16,6.788,6.742
1071,2014-09-17,6.775,6.749
1072,2014-09-18,6.716,6.795
1073,2014-09-19,6.775,6.828
1074,2014-09-22,6.795,6.617
1075,2014-09-23,6.617,6.644
1076,2014-09-24,6.624,6.762
1077,2014-09-25,6.788,6.696
1078,2014-09-26,6.683,6.657
1079,2014-09-29,6.67,6.657
1080,2014-09-30,6.67,6.67
1081,2014-10-08,6.69,6.749
1082,2014-10-09,6.749,6.709
1083,2014-10-10,6.683,6.683
1084,2014-10-13,6.657,6.644
1085,2014-10-14,6.637,6.657
1086,2014-10-15,6.65,6.683
1087,2014-10-16,6.644,6.709
1088,2014-10-17,6.709,6.657
1089,2014-10-20,6.677,6.69
1090,2014-10-21,6.67,6.637
1091,2014-10-22,6.63,6.644
1092,2014-10-23,6.657,6.736
1093,2014-10-24,6.795,6.696
1094,2014-10-27,6.644,6.591
1095,2014-10-28,6.611,6.69
1096,2014-10-29,6.703,6.775
1097,2014-10-30,6.782,6.861
1098,2014-10-31,6.907,7.255
1099,2014-11-03,7.341,7.308
1100,2014-11-04,7.334,7.137
1101,2014-11-05,7.137,7.117
1102,2014-11-06,7.117,7.13
1103,2014-11-07,7.111,7.176
1104,2014-11-10,7.269,7.328
1105,2014-11-11,7.308,7.413
1106,2014-11-12,7.361,7.367
1107,2014-11-13,7.354,7.269
1108,2014-11-14,7.236,7.19
1109,2014-11-17,7.203,7.078
1110,2014-11-18,7.065,6.979
1111,2014-11-19,6.973,6.992
1112,2014-11-20,6.959,6.992
1113,2014-11-21,6.986,7.104
1114,2014-11-24,6.979,7.091
1115,2014-11-25,7.071,7.222
1116,2014-11-26,7.229,7.374
1117,2014-11-27,7.466,7.44
1118,2014-11-28,7.413,8.183
1119,2014-12-01,8.288,8.018
1120,2014-12-02,7.985,8.63
1121,2014-12-03,8.63,8.617
1122,2014-12-04,8.643,9.183
1123,2014-12-05,9.242,9.558
1124,2014-12-08,9.347,10.018
1125,2014-12-09,9.84,9.018
1126,2014-12-10,8.946,9.334
1127,2014-12-11,9.084,9.156
1128,2014-12-12,9.143,9.169
1129,2014-12-15,9.045,8.933
1130,2014-12-16,8.88,9.465
1131,2014-12-17,9.472,10.104
1132,2014-12-18,10.136,9.794
1133,2014-12-19,9.748,9.867
1134,2014-12-22,9.801,10.09
1135,2014-12-23,9.86,9.702
1136,2014-12-24,9.696,9.255
1137,2014-12-25,9.439,9.663
1138,2014-12-26,9.61,9.933
1139,2014-12-29,10.268,9.814
1140,2014-12-30,9.821,10.196
1141,2014-12-31,10.268,10.419
1142,2015-01-05,10.518,10.538
1143,2015-01-06,10.426,10.38
1144,2015-01-07,10.235,10.182
1145,2015-01-08,10.196,9.84
1146,2015-01-09,9.801,9.919
1147,2015-01-12,9.781,9.715
1148,2015-01-13,9.637,9.656
1149,2015-01-14,9.722,9.742
1150,2015-01-15,9.768,10.097
1151,2015-01-16,10.13,10.11
1152,2015-01-19,9.216,9.097
1153,2015-01-20,9.097,9.097
1154,2015-01-21,9.13,9.485
1155,2015-01-22,9.433,9.406
1156,2015-01-23,9.446,9.472
1157,2015-01-26,9.446,9.433
1158,2015-01-27,9.439,9.202
1159,2015-01-28,9.123,9.248
1160,2015-01-29,9.091,9.143
1161,2015-01-30,9.163,9.163
1162,2015-02-02,8.946,8.966
1163,2015-02-03,9.064,9.176
1164,2015-02-04,9.209,9.018
1165,2015-02-05,9.406,9.071
1166,2015-02-06,9.005,8.887
1167,2015-02-09,8.88,8.893
1168,2015-02-10,8.873,9.058
1169,2015-02-11,9.064,9.031
1170,2015-02-12,9.045,9.117
1171,2015-02-13,9.163,9.176
1172,2015-02-16,9.176,9.156
1173,2015-02-17,9.183,9.202
1174,2015-02-25,9.235,9.077
1175,2015-02-26,9.077,9.255
1176,2015-02-27,9.248,9.202
1177,2015-03-02,9.229,9.229
1178,2015-03-03,9.196,8.946
1179,2015-03-04,8.959,8.926
1180,2015-03-05,8.88,8.801
1181,2015-03-06,8.795,8.841
1182,2015-03-09,8.86,9.308
1183,2015-03-10,9.209,9.058
1184,2015-03-11,9.071,9.117
1185,2015-03-12,9.341,9.604
1186,2015-03-13,9.801,9.86
1187,2015-03-16,9.933,10.136
1188,2015-03-17,10.202,10.13
1189,2015-03-18,10.104,10.202
1190,2015-03-19,10.182,9.992
1191,2015-03-20,9.992,10.077
1192,2015-03-23,10.084,10.15
1193,2015-03-24,10.15,10.097
1194,2015-03-25,10.051,9.808
1195,2015-03-26,9.775,9.939
1196,2015-03-27,9.933,9.919
1197,2015-03-30,10.018,10.301
1198,2015-03-31,10.551,10.36
1199,2015-04-01,10.406,10.498
1200,2015-04-02,10.584,10.393
1201,2015-04-03,10.327,10.426
1202,2015-04-07,10.623,11.057
1203,2015-04-08,11.136,11.787
1204,2015-04-09,11.807,11.84
1205,2015-04-10,11.84,13.024
1206,2015-04-13,13.533,13.167
1207,2015-04-14,13.135,12.976
1208,2015-04-15,12.976,13.254
1209,2015-04-16,13.008,13.533
1210,2015-04-17,13.931,13.477
1211,2015-04-20,13.613,12.976
1212,2015-04-21,12.992,13.183
1213,2015-04-22,13.199,13.493
1214,2015-04-23,13.517,13.262
1215,2015-04-24,12.976,12.848
1216,2015-04-27,12.904,13.071
1217,2015-04-28,13.095,13.294
1218,2015-04-29,13.262,13.254
1219,2015-04-30,13.398,13.294
1220,2015-05-04,13.294,13.151
1221,2015-05-05,13.063,12.625
1222,2015-05-06,12.594,12.514
1223,2015-05-07,12.514,12.474
1224,2015-05-08,12.506,12.617
1225,2015-05-11,12.578,12.761
1226,2015-05-12,12.721,12.705
1227,2015-05-13,12.88,12.641
1228,2015-05-14,12.737,12.649
1229,2015-05-15,12.578,12.299
1230,2015-05-18,12.1,12.084
1231,2015-05-19,12.076,12.411
1232,2015-05-20,12.745,12.53
1233,2015-05-21,12.578,12.57
1234,2015-05-22,12.665,12.952
1235,2015-05-25,13.016,13.215
1236,2015-05-26,13.238,13.23
1237,2015-05-27,13.23,13.119
1238,2015-05-28,13.135,12.339
1239,2015-05-29,12.347,12.196
1240,2015-06-01,12.204,12.657
1241,2015-06-02,12.649,12.554
1242,2015-06-03,12.554,12.602
1243,2015-06-04,12.617,13.031
1244,2015-06-05,13.294,12.976
1245,2015-06-08,12.992,13.764
1246,2015-06-09,13.82,13.517
1247,2015-06-10,13.374,13.278
1248,2015-06-11,13.278,13.119
1249,2015-06-12,13.119,13.143
1250,2015-06-15,13.159,12.673
1251,2015-06-16,12.578,12.45
1252,2015-06-17,12.602,12.522
1253,2015-06-18,12.482,12.243
1254,2015-06-19,12.14,11.646
1255,2015-06-23,11.654,11.901
1256,2015-06-24,11.941,12.036
1257,2015-06-25,12.403,11.837
1258,2015-06-26,11.654,10.962
1259,2015-06-29,11.208,10.795
